Year,State.Code,State.Name,Income,Math,Verbal
2005,AL,Alabama,Between 20-40k,513,527
2005,AL,Alabama,Between 40-60k,539,551
2005,AL,Alabama,Between 60-80k,550,564
2005,AL,Alabama,Between 80-100k,566,577
2005,AL,Alabama,Less than 20k,462,474
2005,AL,Alabama,More than 100k,588,590
2005,AK,Alaska,Between 20-40k,492,500
2005,AK,Alaska,Between 40-60k,517,522
2005,AK,Alaska,Between 60-80k,513,519
2005,AK,Alaska,Between 80-100k,528,534
2005,AK,Alaska,Less than 20k,464,467
2005,AK,Alaska,More than 100k,541,544
2005,AZ,Arizona,Between 20-40k,498,495
2005,AZ,Arizona,Between 40-60k,520,518
2005,AZ,Arizona,Between 60-80k,524,523
2005,AZ,Arizona,Between 80-100k,534,533
2005,AZ,Arizona,Less than 20k,485,474
2005,AZ,Arizona,More than 100k,554,546
2005,AR,Arkansas,Between 20-40k,513,526
2005,AR,Arkansas,Between 40-60k,543,555
2005,AR,Arkansas,Between 60-80k,553,570
2005,AR,Arkansas,Between 80-100k,570,580
2005,AR,Arkansas,Less than 20k,489,486
2005,AR,Arkansas,More than 100k,572,589
2005,CA,California,Between 20-40k,477,458
2005,CA,California,Between 40-60k,506,494
2005,CA,California,Between 60-80k,521,511
2005,CA,California,Between 80-100k,535,525
2005,CA,California,Less than 20k,451,421
2005,CA,California,More than 100k,566,551
2005,CO,Colorado,Between 20-40k,533,535
2005,CO,Colorado,Between 40-60k,543,548
2005,CO,Colorado,Between 60-80k,553,552
2005,CO,Colorado,Between 80-100k,562,560
2005,CO,Colorado,Less than 20k,514,505
2005,CO,Colorado,More than 100k,574,568
2005,CT,Connecticut,Between 20-40k,463,467
2005,CT,Connecticut,Between 40-60k,493,499
2005,CT,Connecticut,Between 60-80k,507,511
2005,CT,Connecticut,Between 80-100k,523,523
2005,CT,Connecticut,Less than 20k,434,426
2005,CT,Connecticut,More than 100k,565,559
2005,DE,Delaware,Between 20-40k,449,454
2005,DE,Delaware,Between 40-60k,481,487
2005,DE,Delaware,Between 60-80k,497,501
2005,DE,Delaware,Between 80-100k,512,510
2005,DE,Delaware,Less than 20k,411,410
2005,DE,Delaware,More than 100k,554,550
2005,DC,District Of Columbia,Between 20-40k,391,404
2005,DC,District Of Columbia,Between 40-60k,433,454
2005,DC,District Of Columbia,Between 60-80k,470,482
2005,DC,District Of Columbia,Between 80-100k,539,549
2005,DC,District Of Columbia,Less than 20k,374,377
2005,DC,District Of Columbia,More than 100k,608,622
2005,FL,Florida,Between 20-40k,471,473
2005,FL,Florida,Between 40-60k,492,496
2005,FL,Florida,Between 60-80k,504,505
2005,FL,Florida,Between 80-100k,516,517
2005,FL,Florida,Less than 20k,433,431
2005,FL,Florida,More than 100k,544,538
2005,GA,Georgia,Between 20-40k,459,462
2005,GA,Georgia,Between 40-60k,482,487
2005,GA,Georgia,Between 60-80k,499,503
2005,GA,Georgia,Between 80-100k,516,517
2005,GA,Georgia,Less than 20k,425,423
2005,GA,Georgia,More than 100k,546,541
2005,HI,Hawaii,Between 20-40k,487,465
2005,HI,Hawaii,Between 40-60k,503,480
2005,HI,Hawaii,Between 60-80k,512,489
2005,HI,Hawaii,Between 80-100k,535,510
2005,HI,Hawaii,Less than 20k,456,432
2005,HI,Hawaii,More than 100k,565,535
2005,ID,Idaho,Between 20-40k,520,525
2005,ID,Idaho,Between 40-60k,534,533
2005,ID,Idaho,Between 60-80k,539,544
2005,ID,Idaho,Between 80-100k,552,552
2005,ID,Idaho,Less than 20k,519,511
2005,ID,Idaho,More than 100k,561,564
2005,IL,Illinois,Between 20-40k,569,556
2005,IL,Illinois,Between 40-60k,583,571
2005,IL,Illinois,Between 60-80k,595,590
2005,IL,Illinois,Between 80-100k,607,601
2005,IL,Illinois,Less than 20k,544,520
2005,IL,Illinois,More than 100k,622,608
2005,IN,Indiana,Between 20-40k,478,477
2005,IN,Indiana,Between 40-60k,499,496
2005,IN,Indiana,Between 60-80k,508,505
2005,IN,Indiana,Between 80-100k,524,516
2005,IN,Indiana,Less than 20k,451,447
2005,IN,Indiana,More than 100k,548,538
2005,IA,Iowa,Between 20-40k,585,564
2005,IA,Iowa,Between 40-60k,596,589
2005,IA,Iowa,Between 60-80k,622,610
2005,IA,Iowa,Between 80-100k,623,611
2005,IA,Iowa,Less than 20k,276,524
2005,IA,Iowa,More than 100k,620,609
2005,KS,Kansas,Between 20-40k,558,554
2005,KS,Kansas,Between 40-60k,574,582
2005,KS,Kansas,Between 60-80k,585,580
2005,KS,Kansas,Between 80-100k,597,599
2005,KS,Kansas,Less than 20k,537,508
2005,KS,Kansas,More than 100k,599,594
2005,KY,Kentucky,Between 20-40k,520,528
2005,KY,Kentucky,Between 40-60k,544,549
2005,KY,Kentucky,Between 60-80k,553,557
2005,KY,Kentucky,Between 80-100k,562,567
2005,KY,Kentucky,Less than 20k,500,479
2005,KY,Kentucky,More than 100k,579,577
2005,LA,Louisiana,Between 20-40k,497,505
2005,LA,Louisiana,Between 40-60k,549,563
2005,LA,Louisiana,Between 60-80k,560,563
2005,LA,Louisiana,Between 80-100k,574,581
2005,LA,Louisiana,Less than 20k,470,463
2005,LA,Louisiana,More than 100k,598,594
2005,ME,Maine,Between 20-40k,485,491
2005,ME,Maine,Between 40-60k,498,504
2005,ME,Maine,Between 60-80k,509,513
2005,ME,Maine,Between 80-100k,524,527
2005,ME,Maine,Less than 20k,458,463
2005,ME,Maine,More than 100k,547,544
2005,MD,Maryland,Between 20-40k,459,455
2005,MD,Maryland,Between 40-60k,486,486
2005,MD,Maryland,Between 60-80k,510,508
2005,MD,Maryland,Between 80-100k,530,528
2005,MD,Maryland,Less than 20k,419,413
2005,MD,Maryland,More than 100k,569,561
2005,MA,Massachusetts,Between 20-40k,481,476
2005,MA,Massachusetts,Between 40-60k,506,503
2005,MA,Massachusetts,Between 60-80k,517,516
2005,MA,Massachusetts,Between 80-100k,534,530
2005,MA,Massachusetts,Less than 20k,449,427
2005,MA,Massachusetts,More than 100k,573,562
2005,MI,Michigan,Between 20-40k,525,521
2005,MI,Michigan,Between 40-60k,551,546
2005,MI,Michigan,Between 60-80k,571,565
2005,MI,Michigan,Between 80-100k,586,576
2005,MI,Michigan,Less than 20k,495,481
2005,MI,Michigan,More than 100k,605,590
2005,MN,Minnesota,Between 20-40k,571,568
2005,MN,Minnesota,Between 40-60k,571,576
2005,MN,Minnesota,Between 60-80k,587,584
2005,MN,Minnesota,Between 80-100k,599,595
2005,MN,Minnesota,Less than 20k,531,510
2005,MN,Minnesota,More than 100k,612,606
2005,MS,Mississippi,Between 20-40k,520,536
2005,MS,Mississippi,Between 40-60k,546,558
2005,MS,Mississippi,Between 60-80k,556,572
2005,MS,Mississippi,Between 80-100k,575,594
2005,MS,Mississippi,Less than 20k,229,447
2005,MS,Mississippi,More than 100k,598,607
2005,MO,Missouri,Between 20-40k,531,533
2005,MO,Missouri,Between 40-60k,568,574
2005,MO,Missouri,Between 60-80k,576,588
2005,MO,Missouri,Between 80-100k,598,591
2005,MO,Missouri,Less than 20k,514,495
2005,MO,Missouri,More than 100k,602,599
2005,MT,Montana,Between 20-40k,529,533
2005,MT,Montana,Between 40-60k,534,539
2005,MT,Montana,Between 60-80k,543,533
2005,MT,Montana,Between 80-100k,551,543
2005,MT,Montana,Less than 20k,496,507
2005,MT,Montana,More than 100k,568,552
2005,NE,Nebraska,Between 20-40k,535,546
2005,NE,Nebraska,Between 40-60k,568,561
2005,NE,Nebraska,Between 60-80k,583,578
2005,NE,Nebraska,Between 80-100k,588,572
2005,NE,Nebraska,Less than 20k,270,507
2005,NE,Nebraska,More than 100k,595,588
2005,NV,Nevada,Between 20-40k,488,484
2005,NV,Nevada,Between 40-60k,500,500
2005,NV,Nevada,Between 60-80k,509,506
2005,NV,Nevada,Between 80-100k,517,513
2005,NV,Nevada,Less than 20k,471,458
2005,NV,Nevada,More than 100k,538,532
2005,NH,New Hampshire,Between 20-40k,491,496
2005,NH,New Hampshire,Between 40-60k,505,509
2005,NH,New Hampshire,Between 60-80k,515,518
2005,NH,New Hampshire,Between 80-100k,528,524
2005,NH,New Hampshire,Less than 20k,490,486
2005,NH,New Hampshire,More than 100k,553,548
2005,NJ,New Jersey,Between 20-40k,466,453
2005,NJ,New Jersey,Between 40-60k,497,487
2005,NJ,New Jersey,Between 60-80k,510,500
2005,NJ,New Jersey,Between 80-100k,526,515
2005,NJ,New Jersey,Less than 20k,427,405
2005,NJ,New Jersey,More than 100k,565,549
2005,NM,New Mexico,Between 20-40k,509,519
2005,NM,New Mexico,Between 40-60k,528,538
2005,NM,New Mexico,Between 60-80k,542,558
2005,NM,New Mexico,Between 80-100k,555,578
2005,NM,New Mexico,Less than 20k,496,490
2005,NM,New Mexico,More than 100k,575,581
2005,NY,New York,Between 20-40k,478,467
2005,NY,New York,Between 40-60k,504,495
2005,NY,New York,Between 60-80k,519,509
2005,NY,New York,Between 80-100k,530,521
2005,NY,New York,Less than 20k,449,422
2005,NY,New York,More than 100k,566,552
2005,NC,North Carolina,Between 20-40k,476,466
2005,NC,North Carolina,Between 40-60k,502,494
2005,NC,North Carolina,Between 60-80k,519,506
2005,NC,North Carolina,Between 80-100k,534,523
2005,NC,North Carolina,Less than 20k,434,420
2005,NC,North Carolina,More than 100k,565,549
2005,ND,North Dakota,Between 20-40k,0,552
2005,ND,North Dakota,Between 40-60k,616,594
2005,ND,North Dakota,Between 60-80k,609,591
2005,ND,North Dakota,Between 80-100k,613,605
2005,ND,North Dakota,Less than 20k,0,257
2005,ND,North Dakota,More than 100k,619,601
2005,OH,Ohio,Between 20-40k,497,498
2005,OH,Ohio,Between 40-60k,524,524
2005,OH,Ohio,Between 60-80k,539,536
2005,OH,Ohio,Between 80-100k,551,545
2005,OH,Ohio,Less than 20k,464,458
2005,OH,Ohio,More than 100k,571,561
