UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
100654, 1,"R",729,"R",3,"R",726,"R",213,"R",0,"R",213,"R",106,"R",1,"R",105,"R",35,"R",0,"R",35,"R",97,"R",0,"R",97,"R",28,"R",0,"R",28,"R",932,"R",4,"R",928,"R",276,"R",0,"R",276
100654, 2,"R",729,"R",3,"R",726,"R",213,"R",0,"R",213,"R",106,"R",1,"R",105,"R",35,"R",0,"R",35,"R",97,"R",0,"R",97,"R",28,"R",0,"R",28,"R",932,"R",4,"R",928,"R",276,"R",0,"R",276
100663, 1,"R",583,"R",2,"R",581,"R",313,"R",0,"R",313,"R",258,"R",1,"R",257,"R",141,"R",1,"R",142,"R",891,"R",2,"R",889,"R",638,"R",2,"R",640,"R",1732,"R",5,"R",1727,"R",1092,"R",3,"R",1095
100663, 2,"R",583,"R",2,"R",581,"R",313,"R",0,"R",313,"R",257,"R",1,"R",256,"R",141,"R",0,"R",141,"R",890,"R",2,"R",888,"R",638,"R",1,"R",639,"R",1730,"R",5,"R",1725,"R",1092,"R",1,"R",1093
100663, 3,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",2,"R",0,"R",2,"R",0,"R",2,"R",2
100690, 1,"R",3,"R",0,"R",3,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",0,"R",3,"R",1,"R",0,"R",1
100690, 2,"R",2,"Z",0,"R",2,"R",1,"R",0,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1
100690, 3,"R",1,"Z",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0
100706, 1,"R",160,"R",0,"R",160,"R",66,"R",0,"R",66,"R",157,"R",0,"R",157,"R",82,"R",0,"R",82,"R",321,"R",0,"R",321,"R",220,"R",0,"R",220,"R",638,"R",0,"R",638,"R",368,"R",0,"R",368
100706, 2,"R",160,"Z",0,"R",160,"R",66,"R",0,"R",66,"R",157,"Z",0,"R",157,"R",82,"R",0,"R",82,"R",321,"Z",0,"R",321,"R",220,"R",0,"R",220,"R",638,"R",0,"R",638,"R",368,"R",0,"R",368
